start_date, end_date, line
2012-08-28 20:30:00.000,2012-08-28 00:00:00.000,11
2012-08-28 20:30:00.000,2012-08-28 00:00:00.000,2
2012-08-28 20:30:00.000,2012-08-28 00:00:00.000,3
2012-08-28 20:30:00.000,2012-08-28 00:00:00.000,20
2012-08-28 20:30:00.000,2012-08-28 00:00:00.000,27
2012-02-25 00:00:00.000,2012-02-25 23:59:59.000,9
2012-02-26 00:00:00.000,2012-02-26 23:59:59.000,9
2012-02-27 00:00:00.000,2012-02-27 23:59:59.000,9
2012-02-28 00:00:00.000,2012-02-28 23:59:59.000,9
2012-02-29 00:00:00.000,2012-02-29 23:59:59.000,9
2012-03-01 00:00:00.000,2012-03-01 23:59:59.000,9
2012-03-02 00:00:00.000,2012-03-02 23:59:59.000,9
2012-03-03 00:00:00.000,2012-03-03 23:59:59.000,9
2012-03-04 00:00:00.000,2012-03-04 23:59:59.000,9
2012-03-05 00:00:00.000,2012-03-05 23:59:59.000,9
2012-03-06 00:00:00.000,2012-03-06 23:59:59.000,9
2012-03-07 00:00:00.000,2012-03-07 23:59:59.000,9
2012-03-08 00:00:00.000,2012-03-08 23:59:59.000,9
2012-03-09 00:00:00.000,2012-03-09 23:59:59.000,9
2012-03-10 00:00:00.000,2012-03-10 23:59:59.000,9
2012-03-11 00:00:00.000,2012-03-11 23:59:59.000,9
2012-03-12 00:00:00.000,2012-03-12 23:59:59.000,9
2012-03-13 00:00:00.000,2012-03-13 23:59:59.000,9
2012-03-14 00:00:00.000,2012-03-14 23:59:59.000,9
2012-03-15 00:00:00.000,2012-03-15 23:59:59.000,9
2012-03-16 00:00:00.000,2012-03-16 23:59:59.000,9
2012-03-17 00:00:00.000,2012-03-17 23:59:59.000,9
2012-03-18 00:00:00.000,2012-03-18 23:59:59.000,9
2012-03-19 00:00:00.000,2012-03-19 23:59:59.000,9
2012-03-20 00:00:00.000,2012-03-20 23:59:59.000,9
2012-02-25 00:00:00.000,2012-02-25 23:59:59.000,25
2012-02-26 00:00:00.000,2012-02-26 23:59:59.000,25
2012-02-27 00:00:00.000,2012-02-27 23:59:59.000,25
2012-02-28 00:00:00.000,2012-02-28 23:59:59.000,25
2012-02-29 00:00:00.000,2012-02-29 23:59:59.000,25
2012-03-01 00:00:00.000,2012-03-01 23:59:59.000,25
2012-03-02 00:00:00.000,2012-03-02 23:59:59.000,25
2012-03-03 00:00:00.000,2012-03-03 23:59:59.000,25
2012-03-04 00:00:00.000,2012-03-04 23:59:59.000,25
2012-03-05 00:00:00.000,2012-03-05 23:59:59.000,25
2012-03-06 00:00:00.000,2012-03-06 23:59:59.000,25
2012-03-07 00:00:00.000,2012-03-07 23:59:59.000,25
2012-03-08 00:00:00.000,2012-03-08 23:59:59.000,25
2012-03-09 00:00:00.000,2012-03-09 23:59:59.000,25
2012-03-10 00:00:00.000,2012-03-10 23:59:59.000,25
2012-03-11 00:00:00.000,2012-03-11 23:59:59.000,25
2012-03-12 00:00:00.000,2012-03-12 23:59:59.000,25
2012-03-13 00:00:00.000,2012-03-13 23:59:59.000,25
2012-03-14 00:00:00.000,2012-03-14 23:59:59.000,25
2012-03-15 00:00:00.000,2012-03-15 23:59:59.000,25
2012-03-16 00:00:00.000,2012-03-16 23:59:59.000,25
2012-03-17 00:00:00.000,2012-03-17 23:59:59.000,25
2012-03-18 00:00:00.000,2012-03-18 23:59:59.000,25
2012-03-19 00:00:00.000,2012-03-19 23:59:59.000,25
2012-03-20 00:00:00.000,2012-03-20 23:59:59.000,25
2012-06-08 13:00:00.000,2012-06-08 21:00:00.000,2
2012-06-08 13:00:00.000,2012-06-08 21:00:00.000,2
2012-06-08 13:00:00.000,2012-06-08 21:00:00.000,7
2012-06-08 13:00:00.000,2012-06-08 21:00:00.000,7
2012-06-08 13:00:00.000,2012-06-08 21:00:00.000,27
2012-06-08 13:00:00.000,2012-06-08 21:00:00.000,27
2012-08-28 13:00:00.000,2012-08-28 21:00:00.000,12
2012-08-28 13:00:00.000,2012-08-28 21:00:00.000,12
2012-06-08 13:00:00.000,2012-06-08 21:00:00.000,21
2012-06-08 13:00:00.000,2012-06-08 21:00:00.000,21
2012-06-09 16:00:00.000,2012-06-09 18:00:00.000,2
2012-06-09 16:00:00.000,2012-06-09 18:00:00.000,2
2012-06-09 16:00:00.000,2012-06-09 18:00:00.000,7
2012-06-09 16:00:00.000,2012-06-09 18:00:00.000,7
2012-06-09 16:00:00.000,2012-06-09 18:00:00.000,27
2012-06-09 16:00:00.000,2012-06-09 18:00:00.000,27
2012-06-09 16:00:00.000,2012-06-09 18:00:00.000,12
2012-06-09 16:00:00.000,2012-06-09 18:00:00.000,12
2012-06-10 11:00:00.000,2012-06-10 17:00:00.000,27
2012-06-10 11:00:00.000,2012-06-10 17:00:00.000,27
2012-06-10 11:00:00.000,2012-06-10 17:00:00.000,2
2012-06-10 11:00:00.000,2012-06-10 17:00:00.000,2
2012-06-10 11:00:00.000,2012-06-10 17:00:00.000,12
2012-06-10 11:00:00.000,2012-06-10 17:00:00.000,12
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,13
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,13
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,7
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,7
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,20Z
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,20Z
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,19I
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,19I
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,19B
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,19B
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,6
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,6
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,6B
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,6B
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,1B
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,1B
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,1B
2012-06-10 12:00:00.000,2012-06-10 17:00:00.000,1B
2012-10-27 05:00:00.000,2012-10-27 23:59:59.000,14
2012-10-27 05:00:00.000,2012-10-27 23:59:59.000,14
2012-10-28 00:00:00.000,2012-10-28 23:59:59.000,14
2012-10-28 00:00:00.000,2012-10-28 23:59:59.000,14
2012-10-27 05:00:00.000,2012-10-27 23:59:59.000,14B
2012-10-27 05:00:00.000,2012-10-27 23:59:59.000,14B
2012-10-28 00:00:00.000,2012-10-28 23:59:59.000,14B
2012-10-28 00:00:00.000,2012-10-28 23:59:59.000,14B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1B
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,1
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,2
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,2
2012-10-27 10:30:00.000,2012-10-27 18:00:00.000,3
