start_date, end_date, line
2012-10-31 00:00:00.000,2012-11-01 23:59:00.000,19
2012-10-31 00:00:00.000,2012-11-01 23:59:00.000,19I
2012-10-31 00:00:00.000,2012-11-01 23:59:00.000,19B
2012-10-31 00:00:00.000,2012-11-01 23:59:00.000,12
2012-06-08 14:00:00.000,2012-06-08 22:00:00.000,2
2012-06-08 14:00:00.000,2012-06-08 22:00:00.000,7
2012-06-08 14:00:00.000,2012-06-08 22:00:00.000,12
2012-06-08 14:00:00.000,2012-06-08 22:00:00.000,21
2012-06-08 14:00:00.000,2012-06-08 22:00:00.000,27
2012-06-09 15:00:00.000,2012-06-09 19:00:00.000,2
2012-06-09 15:00:00.000,2012-06-09 19:00:00.000,7
2012-06-09 15:00:00.000,2012-06-09 19:00:00.000,12
2012-06-09 15:00:00.000,2012-06-09 19:00:00.000,27
2012-06-10 00:00:00.000,2012-06-10 23:59:00.000,1B
2012-06-10 00:00:00.000,2012-06-10 23:59:00.000,1S
2012-06-10 00:00:00.000,2012-06-10 23:59:00.000,6
2012-06-10 00:00:00.000,2012-06-10 23:59:00.000,20Z
2012-06-10 00:00:00.000,2012-06-10 23:59:00.000,13
2012-06-10 00:00:00.000,2012-06-10 23:59:00.000,7
2012-06-10 00:00:00.000,2012-06-10 23:59:00.000,12
2012-06-10 00:00:00.000,2012-06-10 23:59:00.000,19
2012-06-10 00:00:00.000,2012-06-10 23:59:00.000,2
2012-06-10 00:00:00.000,2012-06-10 23:59:00.000,27
2012-06-23 00:00:00.000,2012-06-25 23:59:00.000,2
2012-06-23 00:00:00.000,2012-06-25 23:59:00.000,5
2012-06-23 00:00:00.000,2012-06-25 23:59:00.000,9
2012-06-23 00:00:00.000,2012-06-25 23:59:00.000,11
2012-06-23 00:00:00.000,2012-06-25 23:59:00.000,20
2012-06-23 00:00:00.000,2012-06-25 23:59:00.000,25
2012-08-16 00:00:00.000,2012-08-17 23:59:00.000,2
2012-08-16 00:00:00.000,2012-08-17 23:59:00.000,5
2012-08-16 00:00:00.000,2012-08-17 23:59:00.000,11
2012-08-16 00:00:00.000,2012-08-17 23:59:00.000,20
2012-08-21 00:00:00.000,2012-12-31 23:59:00.000,2
2012-08-21 00:00:00.000,2012-12-31 23:59:00.000,11
2012-08-21 00:00:00.000,2012-12-31 23:59:00.000,20
2012-09-26 00:00:00.000,2012-12-31 23:59:00.000,19B
2012-09-26 00:00:00.000,2012-12-31 23:59:00.000,19I
2012-11-24 00:00:00.000,2012-11-24 23:59:00.000,3
2012-11-24 00:00:00.000,2012-11-24 23:59:00.000,3B
2012-11-29 00:00:00.000,2012-12-03 23:59:00.000,20
2012-11-29 00:00:00.000,2012-12-03 23:59:00.000,22
2012-11-29 00:00:00.000,2012-12-03 23:59:00.000,25
2012-12-15 19:00:00.000,2012-12-16 07:00:00.000,13
2012-12-15 19:00:00.000,2012-12-16 07:00:00.000,20
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,1
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,2
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,3
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,3B
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,3G
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,6
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,6B
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,9
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,11
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,19B
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,19I
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,20
2012-12-31 21:00:00.000,2012-12-31 23:59:59.000,27
